rA;Va;Vw
10;282,31;0,00
20;199,59;0,00
30;162,94;0,00
40;141,09;0,00
50;126,18;0,00
60;115,17;0,00
70;106,61;0,00
80;99,71;0,00
90;93,99;0,01
100;89,16;0,01
110;84,99;0,01
120;81,36;0,01
130;78,16;0,01
140;75,31;0,01
150;72,74;0,01
160;70,42;0,01
170;68,31;0,01
180;66,38;0,01
190;64,60;0,01
200;62,95;0,01
210;61,42;0,01
220;60,00;0,01
230;58,68;0,01
240;57,43;0,01
250;56,26;0,02
260;55,16;0,02
270;54,12;0,02
280;53,14;0,02
290;52,21;0,02
300;51,32;0,02
310;50,48;0,02
320;49,68;0,02
330;48,91;0,02
340;48,18;0,02
350;47,48;0,02
360;46,81;0,02
370;46,17;0,02
380;45,55;0,02
390;44,96;0,02
400;44,38;0,02
410;43,83;0,03
420;43,30;0,03
430;42,79;0,03
440;42,29;0,03
450;41,82;0,03
460;41,35;0,03
470;40,90;0,03
480;40,47;0,03
490;40,05;0,03
500;39,64;0,03
510;39,25;0,03
520;38,86;0,03
530;38,49;0,03
540;38,12;0,03
550;37,77;0,03
560;37,43;0,03
570;37,09;0,04
580;36,76;0,04
590;36,45;0,04
600;36,14;0,04
610;35,83;0,04
620;35,54;0,04
630;35,25;0,04
640;34,97;0,04
650;34,69;0,04
660;34,42;0,04
670;34,16;0,04
680;33,90;0,04
690;33,65;0,04
700;33,41;0,04
710;33,17;0,04
720;32,93;0,04
730;32,70;0,04
740;32,47;0,05
750;32,25;0,05
760;32,03;0,05
770;31,82;0,05
780;31,61;0,05
790;31,41;0,05
800;31,20;0,05
810;31,01;0,05
820;30,81;0,05
830;30,62;0,05
840;30,44;0,05
850;30,25;0,05
860;30,07;0,05
870;29,89;0,05
880;29,72;0,05
890;29,55;0,05
900;29,38;0,06
910;29,21;0,06
920;29,05;0,06
930;28,89;0,06
940;28,73;0,06
950;28,57;0,06
960;28,42;0,06
970;28,27;0,06
980;28,12;0,06
990;27,98;0,06
1000;27,83;0,06
1010;27,69;0,06
1020;27,55;0,06
1030;27,41;0,06
1040;27,27;0,06
1050;27,14;0,06
1060;27,01;0,07
1070;26,88;0,07
1080;26,75;0,07
1090;26,62;0,07
1100;26,50;0,07
1110;26,37;0,07
1120;26,25;0,07
1130;26,13;0,07
1140;26,01;0,07
1150;25,90;0,07
1160;25,78;0,07
1170;25,67;0,07
1180;25,56;0,07
1190;25,44;0,07
1200;25,33;0,07
1210;25,23;0,07
1220;25,12;0,07
1230;25,01;0,08
1240;24,91;0,08
1250;24,80;0,08
1260;24,70;0,08
1270;24,60;0,08
1280;24,50;0,08
1290;24,40;0,08
1300;24,31;0,08
1310;24,21;0,08
1320;24,11;0,08
1330;24,02;0,08
1340;23,93;0,08
1350;23,83;0,08
1360;23,74;0,08
1370;23,65;0,08
1380;23,56;0,08
1390;23,48;0,09
1400;23,39;0,09
1410;23,30;0,09
1420;23,22;0,09
1430;23,13;0,09
1440;23,05;0,09
1450;22,97;0,09
1460;22,88;0,09
1470;22,80;0,09
1480;22,72;0,09
1490;22,64;0,09
1500;22,56;0,09
1510;22,49;0,09
1520;22,41;0,09
1530;22,33;0,09
1540;22,26;0,09
1550;22,18;0,10
1560;22,11;0,10
1570;22,03;0,10
1580;21,96;0,10
1590;21,89;0,10
